S. No.,Proposal No.,Proposal Details,Project Name,Location,Project Proponent,Issuing Authority,Proposal Status,State_Value,Activity Description
64,SIA/MH/IND1/433808/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/133582/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
28/06/2023","Regularization of Existing Rolling Mill for Manufacturing of 36,000 TPA of Zinc Wire & Rods",MAHARASHTRA,KOTHARI METSOL PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
65,SIA/MH/IND1/434394/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/134145/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/06/2023","Seamless Pipes and Mother hollow manufacturing industry at Pipe Nagar, Sukeli, Nagothane, Tal. - Roha, Dist. – Raigad by “Mahalaxmi Seamless Limited”",MAHARASHTRA,MAHALAXMI SEAMLESS LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
66,SIA/MH/IND1/433570/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/133340/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
17/06/2023","Manufacture of TMT Bar with capacity 1000 TPD Stand-alone Rolling Mill (Existing) along with Reheating Furnace by M/s. Matsyodari Steel & Alloy Pvt. Ltd. located at Plot No. D-33 & D-34, Additional MIDC area, Phase I, Jalna, Dist. Jalna, Maharashtra.",MAHARASHTRA,MATSYODARI STEEL & ALLOYS PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
67,SIA/MH/IND1/431143/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/131025/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
09/06/2023","Proposed Environmental Clearance for Production of Cold Rolled grain oriented (CRGO/Cold Rolled non Grain Oriented (CRNO Mild Steel) 3,05,000 MT/A Capacity by Thyssenkrupp Electrical Steel Pvt. Ltd. at Gonde, Village- Wadiverhe, Tal. Igatpuri, Dist. Nashik",MAHARASHTRA,THYSSENKRUPP ELECTRICAL STEEL INDIA PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
68,SIA/MH/IND1/429964/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/129880/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/05/2023",Proposed Expansion of Existing Metallurgical Industry by M/S Bhuleshwar Steels and Alloys Pvt Ltd.,MAHARASHTRA,BHULESHWAR STEEL AND ALLO YS PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
69,SIA/MH/IND1/428536/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128198/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
11/05/2023","Capacity augmentation and modernization for production of finished products in the form of Ingots, Blooms and Bars from 2, 04,000 TPA to 3,04,000 TPA",MAHARASHTRA,SAARLOHA ADVANCED MATERIALS PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
70,SIA/MH/IND1/428825/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128772/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/05/2023","Regularization of manufacturing of Steel and steel products using various furnaces like blast furnace /open hearth furnace/Rolling Mill Furnace/arc furnace/submerged arc furnace / basic oxygen furnace /hot rolling reheated furnace at P. No. 68 & 69, MIDC Hingna, Dist. Nagpur, Maharashtra by M/s Rajaram Steel Industries Pvt. Ltd.",MAHARASHTRA,RAJARAM STEEL INDUSTRIES PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
71,SIA/MH/IND1/428465/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128420/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
09/05/2023","Proposed expansion of CI & SG casting Manufacturing industry by M/s. Neosym industry limited Gat No. – 201, Village – Sanaswadi, Taluka – Shirur, District – Pune, Pin code – 412208",MAHARASHTRA,NEOSYM INDUSTRY LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
72,SIA/MH/IND1/427094/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/127058/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
26/04/2023",Proposed Expansion of Rolling Mill-Conversion of Billets into Structural Steel by Shardashree Ispat Limited.,MAHARASHTRA,SHARDASHREE ISPAT LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
73,SIA/MH/IND1/426412/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/126382/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
17/04/2023","Proposed expansion project by increasing the production capacity from 18,000 MT/A to 40,000 MT/A of SS Round/ Square/ Rectangle/ Bars/ Flat/Patti, Billets, Hexagonal, Angle, RCS, Bloom, Slabs, Alloy Ingot/Nickel Alloy & replacing Induction Furnace Plant capacity from 2 no. of 3TP to 1 no. of 12TP by M/s Skytech Rolling Mill Pvt. Ltd.",MAHARASHTRA,SKYTECH ROLLING MILL PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
74,SIA/MH/IND1/425726/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/106929/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
14/04/2023","TII – CRSS - West- TI Cycles of India, Unit of Tube Investment of India Ltd.",MAHARASHTRA,TUBE INVESTMENTS OF INDIA LIMITED,SEIAA,EC Granted,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
75,SIA/MH/IND1/421350/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/121851/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
16/03/2023","Proposal for obtaining Environmental Clearance for Regularization of existing TMT Bars manufacturing unit (Hot Rolling Mill) using MS Billets (Induction Furnace followed by CCM) with total installed capacity of 25,000 TPM by Bhagwati Ferro Metal Pvt. Ltd., Located at Plot No. G-7 & G-8, MIDC Malegaon-Sinnar, Taluka, Sinnar, District- Nashik, Maharashtra.",MAHARASHTRA,BHAGWATI FERRO METAL PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
76,SIA/MH/IND1/421300/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/121640/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/03/2023","Expansion of existing production facilities for Cold Rolled Coils & Sheets (from 210000 to 300000 TPA), Hot Rolled Pickled Skin Passed Coils (from 90000 to 150000 TPA) and Addition of new facility for Hot Rolled Pickled Galvanized Coils (820000 TPA) located at Plot No S-76, MIDC Tarapur Industrial Area, Po-MIDC Boisar, Tehsil- Palghar, District- Palghar, Maharashtra – 401506 by M/s. Tata Steel Limited CRC West",MAHARASHTRA,Tata Steel Limited,SEIAA,EC Granted,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
77,SIA/MH/IND1/418508/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/119216/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
16/02/2023","Proposed installation of 2 x 40T Induction Furnace for production of 3,96,000 TPA M.S. Billets & Rolling Mill for 3,88,080 TPA TMT Bars by Hot Rolled Process & 1,06,920 TPA by Reheating Furnace by Ved Steels & Alloys Private Limited",MAHARASHTRA,VED STEELS & ALLOYS PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
78,SIA/MH/IND1/417597/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/118405/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
09/02/2023",PROPOSED EXANSION of ROLLING MILL FOR PRODUCTION of TMT BARS from 5000 MTM to 30000 MTM and NEW MS BILLETS MANUFACTURING UNIT of PROPOSED CAPACITY 30000 MTM,MAHARASHTRA,VASUDHA ALLOYS PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
79,SIA/MH/IND1/416021/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/116779/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
31/01/2023",Regularization of Manufacturing of 66000 TPA of Re- rolled steel products through Rolling Mill,MAHARASHTRA,SANVIJAY ROLLING & ENGINEERING LTD,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
80,SIA/MH/IND1/415848/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/116739/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
31/01/2023","Regularization of Manufacturing of 1,15,200 TPA of Re- rolled steel products through Rolling Mill",MAHARASHTRA,SANVIJAY ROLLING & ENGINEERING LTD,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
81,SIA/MH/IND1/408875/2022,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/106284/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
01/12/2022",Proposed Expansion in Production of MS Billets -750 TPD to 2000 TPD and Environmental Clearance for Rolling Mills for Manufacturing of TMT Bars 833.33 TPD to 2000 TPD,MAHARASHTRA,M/S. BHAGYALAXMI ROLLING MILL PVT. LTD.,SEIAA,EC Granted,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
82,SIA/MH/IND1/407805/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/109035/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
24/11/2022","Regularization of Manufacturing of M.S. Billets, Rolled Mild Steel Product (Induction Furnace) at Plot No. B-118, 119, 120, MIDC Industrial Area, Butibori, District Nagpur (Maharashtra). By: Meenakshi Re-Rollers Pvt. Ltd.",MAHARASHTRA,MEENAKSHI RE ROLLERS PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
83,SIA/MH/IND1/405512/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/106929/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
08/11/2022","TII – CRSS - West- TI Cycles of India, Unit of Tube Investment of India Ltd.",MAHARASHTRA,TUBE INVESTMENTS OF INDIA LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
84,SIA/MH/IND1/404836/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/106284/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
02/11/2022",Proposed Expansion in Production of MS Billets -750 TPD to 2000 TPD and Environmental Clearance for Rolling Mills for Manufacturing of TMT Bars 833.33 TPD to 2000 TPD,MAHARASHTRA,M/S. BHAGYALAXMI ROLLING MILL PVT. LTD.,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
85,SIA/MH/IND1/404048/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/104789/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
27/10/2022",M/S Varron Autokast Limited,MAHARASHTRA,VARRON AUTOKAST LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
86,SIA/MH/IND1/403959/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/105505/2022
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
25/10/2022","EXPANSION AND MODIFICATION OF MANUFACTURING OF FERRO ALLOY AND OTHER ALLOY FROM 16,800 TPA TO 30,000 TPA",MAHARASHTRA,ELKEM SOUTH ASIA PRIVATE LIMITED,SEIAA,EC Granted,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
87,SIA/MH/IND1/403982/2022,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/105198/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
22/10/2022","Regularization of existing production facilities for Steel Wire Rods – 336000 TPA, Steel Wire & Wire Products – 66000 TPA (Total Production Capacity - 402000 TPA) by M/s. Tata Steel Limited Seeking EC for regularization of existing EC as per Order dated 12th February, 2020 & MPCB Circular dtd. 20th July, 2021",MAHARASHTRA,M/S. TATA STEEL LIMITED,SEIAA,EC Granted,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
88,SIA/MH/IND1/403676/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/105274/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/10/2022","Regularization of Manufacturing of 5500 TPM (66,000 TPA) of Structural Steel - Angles, Channels, Beams , Flats, Round Bars, Square Bars through rolling mill",MAHARASHTRA,MAHAVIR STEEL INDUSTRIES LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
89,SIA/MH/IND1/403241/2022,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/104269/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
17/10/2022","Expansion in Production of MS Billets -750 TPD to 2000 TPD, & Environmental Clearance for Rolling Mills for Manufacturing of TMT Bars - 2000 TPD",MAHARASHTRA,BHAGYALAXMI ROLLING MILLS PVT. LTD. JALNA,SEIAA,EC Granted,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
90,SIA/MH/IND1/401395/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/100777/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/10/2022","Proposed ""Unit 3"" steel manufacturing industry by Shardashree Ispat Limited",MAHARASHTRA,SHARDASHREE ISPAT LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(a) Metallurgical Industries (ferrous and non ferrous)
1,SIA/MH/IND1/546362/2025,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/214063/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
06/08/2025","Establishment of Standalone Grinding Unit at Village- Nimgaon Khalu, Tehsil - Shrigonda, District - Ahmednagar, Maharashtra",MAHARASHTRA,DALMIA BHARAT GREEN VISION LIMITED,SEIAA,EC Granted,MAHARASHTRA,3(b) Cement plants
2,SIA/MH/IND1/536752/2025,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/211029/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
09/05/2025","PROPOSED GREENFIELD PROJECT OF STANDALONE GRINDING UNIT WITH CEMENT PRODUCTION CAPACITY OF 6 MMTPA (2 X 3 MMTPA) AT VILLAGE-MALKHED & UDKHED, TALUKA-CHANDUR RAILWAY & AMRAVATI, DISTRICT- AMRAVATI, MAHARASHTRA by M/s. AMBUJA CONCRETE NORTH PRIVATE LIMITED",MAHARASHTRA,AMBUJA CONCRETE NORTH PRIVATE LIMITED,SEIAA,EC Granted,MAHARASHTRA,3(b) Cement plants
3,SIA/MH/IND1/517207/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/228683/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
06/01/2025","Proposed Greenfield project of Standalone Grinding Unit with Cement production capacity of 6 MMTPA (2 x 3 MMTPA) at Village: Patas, Kangaon, & Betwadi, Taluka-Daund, District-Pune, Maharashtra by M/s. Ambuja Concrete North Pvt. Ltd. (ACNPL)",MAHARASHTRA,AMBUJA CONCRETE NORTH PRIVATE LIMITED,SEIAA,Standard ToR Granted,MAHARASHTRA,3(b) Cement plants
4,SIA/MH/IND1/505677/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/192494/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
27/11/2024","Expansion of Cement production capacity of Standalone Grinding Unit from 0.9 MTPA to 6.0 MTPA (Expansion in existing Cement Mill from 0.9 to 3.0 Million TPA in phase - I and additional Cement Mill of 3.0 Million TPA in Phase - II) At Village-Parli Vaijnath, Tehsil-Parli, District-Beed, Maharashtra by M/s. UltraTech Cement Limited (Unit: Parli Cement Works))",MAHARASHTRA,UltraTech Cement Limited,SEIAA,EC Granted,MAHARASHTRA,3(b) Cement plants
5,SIA/MH/IND1/503165/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/214063/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
15/11/2024","Establishment of Standalone Grinding Unit at Village- Nimgaon Khalu, Tehsil - Shrigonda, District - Ahmednagar, Maharashtra",MAHARASHTRA,DALMIA BHARAT GREEN VISION LIMITED,SEIAA,Standard ToR Granted,MAHARASHTRA,3(b) Cement plants
6,SIA/MH/IND1/500457/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/211029/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
09/10/2024","PROPOSED GREENFIELD PROJECT OF STANDALONE GRINDING UNIT WITH CEMENT PRODUCTION CAPACITY OF 6 MMTPA (2 X 3 MMTPA) AT VILLAGE-MALKHED & UDKHED, TALUKA-CHANDUR RAILWAY & AMRAVATI, DISTRICT- AMRAVATI, MAHARASHTRA by M/s. AMBUJA CONCRETE NORTH PRIVATE LIMITED",MAHARASHTRA,AMBUJA CONCRETE NORTH PRIVATE LIMITED,SEIAA,Standard ToR Granted,MAHARASHTRA,3(b) Cement plants
7,SIA/MH/IND1/494899/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/205218/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
31/08/2024","Proposed Greenfield project of Standalone Grinding Unit with Cement production capacity of 2 x 3 MMTPA (6 MMTPA) at Village-Bornar, Taluka & District-Jalgaon, Maharashtra by M/s. AMBUJA CONCRETE NORTH PRIVATE LIMITED",MAHARASHTRA,AMBUJA CONCRETE NORTH PRIVATE LIMITED,SEIAA,Standard ToR Granted,MAHARASHTRA,3(b) Cement plants
8,SIA/MH/IND1/483260/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/192494/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/07/2024","Expansion of Cement production capacity of Standalone Grinding Unit from 0.9 MTPA to 6.0 MTPA (Expansion in existing Cement Mill from 0.9 to 3.0 Million TPA in phase - I and additional Cement Mill of 3.0 Million TPA in Phase - II) At Village-Parli Vaijnath, Tehsil-Parli, District-Beed, Maharashtra by M/s. UltraTech Cement Limited (Unit: Parli Cement Works))",MAHARASHTRA,UltraTech Cement Limited,SEIAA,Standard ToR Granted,MAHARASHTRA,3(b) Cement plants
9,SIA/MH/IND1/481447/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/147559/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
25/06/2024","Expansion in Cement Production Capacity of Existing Standalone Clinker Grinding Unit from 3.0 Million TPA to 3.6 Million TPA at Plot No. 3, Nardana Industrial Area, MIDC Phase 1, Village: Waghode, Tehsil: Shindkhede, District: Dhule by M/s. UltraTech Cement Limited (Unit: Dhule Cement Works)",MAHARASHTRA,M/s. UltraTech Cement Ltd.,SEIAA,EC Granted,MAHARASHTRA,3(b) Cement plants
10,SIA/MH/IND1/464270/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/121367/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
05/06/2024","Expansion of Cement production capacity of Standalone Grinding Unit from 2.0 Million TPA to 5.4 Million TPA At Villages: Tharsa, Ashti and Navegaon, Tehsil: Mauda, District: Nagpur (Maharashtra) by M/s. UltraTech Cement Ltd. (Unit: Nagpur Cement Works)",MAHARASHTRA,UltraTech Cement Limited,SEIAA,"DELISTED BY SYSTEM
(at : 03/10/2025)",MAHARASHTRA,3(b) Cement plants
11,SIA/MH/IND1/477274/2024,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/186128/2024
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
30/05/2024","Transfer of Environmental Clearance letter no. J-11011/872/ 2007-IA-II (I), dated 1st May 2008 and 18th Feb’2009 from M/s India Cements Ltd to M/s UltraTech Cement Limited granted for Cement Grinding unit (0.9 MTPA) at Sy. No. 101, 102 & 105 Parli Vaijnath, Tehsil Parli, District-Beed, Maharashtra",MAHARASHTRA,UltraTech Cement Limited,SEIAA,Under Processing with Authority,MAHARASHTRA,3(b) Cement plants
12,SIA/MH/IND1/462324/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/139762/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
21/05/2024","Expansion of Cement Grinding Capacity from 4.0 MTPA to 7.0 MTPA of standalone grinding unit located at Villages-Hotgi Station & Hiple, Tehsil-South Solapur, District-Solapur, Maharashtra by UltraTech Cement Limited (Unit: Hotgi Cement Works)",MAHARASHTRA,UltraTech Cement Limited,SEIAA,"DELISTED BY SYSTEM
(at : 04/08/2025)",MAHARASHTRA,3(b) Cement plants
13,SIA/MH/IND1/448445/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/147559/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/12/2023","Expansion in Cement Production Capacity of Existing Standalone Clinker Grinding Unit from 3.0 Million TPA to 3.6 Million TPA at Plot No. 3, Nardana Industrial Area, MIDC Phase 1, Village: Waghode, Tehsil: Shindkhede, District: Dhule by M/s. UltraTech Cement Limited (Unit: Dhule Cement Works)",MAHARASHTRA,M/s. UltraTech Cement Ltd.,SEIAA,TOR GRANTED,MAHARASHTRA,3(b) Cement plants
14,SIA/MH/IND1/449502/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/148603/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/10/2023","PROPOSED AMBIVLI CEMENT GRINDING UNIT WITH PRODUCTION CAPACITY OF 2 X 3 MMTPA (6.0 MMTPA) LOCATED AT VILLAGE: AMBIVLI, TALUKA: KALYAN, DISTRICT: THANE, STATE: MAHARASHTRA",MAHARASHTRA,Ambuja Cement Limited,SEIAA,TOR GRANTED,MAHARASHTRA,3(b) Cement plants
15,SIA/MH/IND1/445888/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/145024/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
27/09/2023","Proposed Manufacturing of 4MMTPA Cement Blending Unit and Flyash Grinding Unit at Plot No. W-7, Sector-KWC, Kalamboli, Taluka Panvel, District Raigad, Navi Mumbai, Maharashtra by M/s. Bulk Cement Corporation India Ltd.",MAHARASHTRA,BULK CEMENT CORPORATION INDIA LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,3(b) Cement plants
16,SIA/MH/IND1/440147/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/139762/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
13/08/2023","Expansion of Cement Grinding Capacity from 4.0 MTPA to 7.0 MTPA of standalone grinding unit located at Villages-Hotgi Station & Hiple, Tehsil-South Solapur, District-Solapur, Maharashtra by UltraTech Cement Limited (Unit: Hotgi Cement Works)",MAHARASHTRA,UltraTech Cement Limited,SEIAA,TOR GRANTED,MAHARASHTRA,3(b) Cement plants
17,SIA/MH/IND1/420807/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/121367/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/03/2023","Expansion of Cement production capacity of Standalone Grinding Unit from 2.0 Million TPA to 5.4 Million TPA At Villages: Tharsa, Ashti and Navegaon, Tehsil: Mauda, District: Nagpur (Maharashtra) by M/s. UltraTech Cement Ltd. (Unit: Nagpur Cement Works)",MAHARASHTRA,UltraTech Cement Limited,SEIAA,TOR GRANTED,MAHARASHTRA,3(b) Cement plants
1,SIA/MH/THE/585494/2026,"Clearance Type: Application for Surrender of Environmental Clearance - Form -11
S/W No.: SW/286424/2026
Category: B1
Sector: Thermal Projects
Date of Submission:
15/07/2026","Proposed 0.9 MTPA Integrated Steel Plant (130 MW CPP, 0.9 MTPA DRI Plant (4x725 TPD) with 14x25T IF, 2x50 T LRF, 2x Continuous Casting Machine, 40TPH slag processing unit, 2x50 TPH Reheating Furnace, 0.75 MTPA TMT Rebars & Wire Rods, 0.4 MTPA Strip Mill, 0.4 MTPA Tube/hollow section Mill by M/s. Sufalam Metals Limited",MAHARASHTRA,SUFALAM METALS LIMITED,SEIAA,Under Verification,MAHARASHTRA,1(d) Thermal Power Plants
2,SIA/MH/THE/471641/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/180280/2024
Category: B1
Sector: Thermal Projects
Date of Submission:
05/08/2025",Transfer of Environmental Clearance from Jawahar Shetkari Sahakari Sakhar Karkhana Ltd. to Kallappanna Awade Jawahar Shetkari Sahakari Sakhar Karkhana Ltd.,MAHARASHTRA,JAWAHAR SHETKARI SAHKARI SAKHAR KARKHANA LTD HUPARI,SEIAA,EC Granted,MAHARASHTRA,1(d) Thermal Power Plants
3,SIA/MH/THE/546738/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/255539/2025
Category: B1
Sector: Thermal Projects
Date of Submission:
05/08/2025","2x150 MW coal based Power Plant at MIDC Nardana, District- Dhule, Maharashtra",MAHARASHTRA,JINDAL POWER LIMITED,SEIAA,EC Granted,MAHARASHTRA,1(d) Thermal Power Plants
